0      -14.72      0.00   9990.88   * 1 *      1 *
NUM_NOOP-AC: 72
NUM_BUYY-AC: 38

STEPS: 146 	TOTAL_SCORE:  44.40
FUN_MAX: 10000.00
FUN_MIN: 8822.00
FUN_MEA: 9329.30
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Worker_N0 finished iterator 593

Worker: updating tensorboard logs...
Worker: storing training loss logs...
Chief: updating neural network...
logits xx6 : [[[ 0.46235523 -0.23076613 -0.23158768]]

 [[ 0.46235523 -0.23076612 -0.23158768]]

 [[ 0.46235523 -0.23076613 -0.23158768]]] [[[ 0.4623552  -0.23076609 -0.23158765]]

 [[ 0.4623552  -0.23076609 -0.23158766]]

 [[ 0.46235523 -0.23076609 -0.23158765]]] (900, 1, 3)

predictedValue xx7 : [[[ 4.80259562]]

 [[ 4.80259562]]

 [[ 4.80259562]]] [[[ 4.80259466]]

 [[ 4.80259466]]

 [[ 4.80259514]]] (900, 1, 1)

time xx9 : [[ 0.1355    ]
 [ 0.15000001]
 [ 0.1505    ]] [[ 0.0255]
 [ 0.03  ]
 [ 0.0955]] (900, 1)

portfolio_state xx00 : [[[ 0.          0.        ]]

 [[ 0.         -4.47200012]]

 [[ 0.         -1.472     ]]] [[[  0.         -28.47200012]]

 [[  0.         -29.47200012]]

 [[  0.           0.        ]]] (900, 1, 2)

volume_percent xx8 : [[ 0.02879237]
 [ 0.01233959]
 [ 0.07403751]] [[  2.28506148e-01]
 [  2.57069409e-01]
 [  1.00000000e-15]] (900, 1)

############################# begin ###############################################
score (3.93, 3.93) [3.934263800224933]

min (44.40, 44.40) [44.399999999999949]

max (81.00, 81.00) [80.999999999999787]

mean (64.07, 64.07) [64.074999999999847]

totalLoss (1.14, 1.14) [1.1356764]

policyLoss (-0.31, -0.31) [-0.30785847]

valueLoss (1.45, 1.45) [1.4539315]

entropyLoss (-0.01, -0.01) [-0.010396555]

############################## finished ############################################
gameover!, meet maximumDrawdown!! 1
win: 18 33.0577777778
loss: 28 61.1485714286
                  Time  unrealized  Realized     funds  action position
0  2017-08-06 15:00:00       25.28      0.00  10000.00   * 1 *      1 *
0  2017-08-06 15:05:00      -34.72      0.00  10000.00   * 1 *      1 *
0  2017-08-06 15:10:00      -44.72      0.00  10000.00       0      1 *
0  2017-08-06 15:15:00      -54.72      0.00  10000.00   * 1 *      1 *
0  2017-08-06 15:20:00        0.00    -44.72   9955.28      -1        0
0  2017-08-06 15:25:00      -14.72      0.00   9955.28   * 1 *      1 *
0  2017-08-06 15:30:00      -14.72      0.00   9955.28       0      1 *
0  2017-08-06 15:35:00        0.00    -14.72   9940.56      -1        0
0  2017-08-06 15:40:00        0.00      0.00   9940.56       0        0
0  2017-08-06 15:45:00        0.00      0.00   9940.56       0        0
0  2017-08-06 15:50:00      -14.72      0.00   9940.56  * -1 *     * -1
0  2017-08-06 15:55:00      -14.72      0.00   9940.56       0     * -1
0  2017-08-06 16:00:00      -14.72      0.00   9940.56       0     * -1
0  2017-08-06 16:05:00        5.28      0.00   9940.56  * -1 *     * -1
0  2017-08-06 16:10:00        0.00     15.28   9955.84       1        0
0  2017-08-06 16:15:00      -14.72      0.00   9955.84   * 1 *      1 *
0  2017-08-06 16:20:00        0.00    -14.72   9941.12      -1        0
0  2017-08-06 16:25:00      -14.72      0.00   9941.12   * 1 *      1 *
0  2017-08-06 16:30:00        0.00    -14.72   9926.40      -1        0
0  2017-08-06 16:35:00        0.00      0.00   9926.40       0        0
0  2017-08-06 16:40:00        0.00      0.00   9926.40       0        0
0  2017-08-06 16:45:00      -14.72      0.00   9926.40   * 1 *      1 *
0  2017-08-06 16:50:00        0.00    -14.72   9911.68      -1        0
0  2017-08-06 16:55:00        0.00      0.00   9911.68       0        0
0  2017-08-06 17:00:00        0.00      0.00   9911.68       0        0
0  2017-08-06 17:05:00      -24.72      0.00   9911.68  * -1 *     * -1
0  2017-08-06 17:10:00       -4.72      0.00   9911.68       0     * -1
